"AUA120S1 3HPTM4 1   ",64018,"AUDI","A1","A1 HATCHBACK",2014,,"S1","S1 TFSI Quattro 3dr",2014,2017,"N"
"AUA120S1N3HPTM4 1   ",81932,"AUDI","A1","A1 HATCHBACK",2014,,"S1 Nav","S1 TFSI Quattro Nav 3dr",2017,,"Y"
"AUA110SE 5HPTM  1   ",68237,"AUDI","A1","A1 SPORTBACK",2014,,"SE","1.0 TFSI SE 5dr",2015,,"Y"
"AUA110SE 5HPTA  1   ",68238,"AUDI","A1","A1 SPORTBACK",2014,,"SE","1.0 TFSI SE 5dr S Tronic",2015,,"Y"
"AUA110SPO5HPTM  1   ",68239,"AUDI","A1","A1 SPORTBACK",2014,,"Sport","1.0 TFSI Sport 5dr",2015,2017,"N"
"AUA110SPO5HPTA  1   ",68240,"AUDI","A1","A1 SPORTBACK",2014,,"Sport","1.0 TFSI Sport 5dr S Tronic",2015,2017,"N"
"AUA110SON5HPTM  1   ",81934,"AUDI","A1","A1 SPORTBACK",2014,,"Sport Nav","1.0 TFSI Sport Nav 5dr",2017,,"Y"
"AUA110SON5HPTA  1   ",81935,"AUDI","A1","A1 SPORTBACK",2014,,"Sport Nav","1.0 TFSI Sport Nav 5dr S Tronic",2017,,"Y"
"AUA110SLV5HPTM  1   ",82821,"AUDI","A1","A1 SPORTBACK",2014,,"S Line Nav","1.0 TFSI S Line Nav 5dr",2018,,"Y"
"AUA110SLV5HPTA  1   ",82822,"AUDI","A1","A1 SPORTBACK",2014,,"S Line Nav","1.0 TFSI S Line Nav 5dr S Tronic",2018,,"Y"
"AUA114SPO5HPTM  1   ",67113,"AUDI","A1","A1 SPORTBACK",2014,,"Sport","1.4 TFSI Sport 5dr",2015,2017,"N"
"AUA114SPO5HPTA  1   ",67114,"AUDI","A1","A1 SPORTBACK",2014,,"Sport","1.4 TFSI Sport 5dr S Tronic",2015,2017,"N"
"AUA114SON5HPTM  1   ",81936,"AUDI","A1","A1 SPORTBACK",2014,,"Sport Nav","1.4 TFSI Sport Nav 5dr",2017,,"Y"
